qx,qy,LHS_num,RHS_exact,abs_err,rel_err
-0.5,-0.5,-1.634501442279807e+16,3.8298306198357656e+33,-3.8298306198357656e+33,-1.0
-0.5,-0.47959183673469385,-1.634501442279807e+16,3.675637800212105e+33,-3.675637800212105e+33,-1.0
-0.5,-0.45918367346938777,-1.634501442279807e+16,3.525698575612507e+33,-3.525698575612507e+33,-1.0
-0.5,-0.4387755102040816,-1.4796327501437866e+16,3.3800129460369713e+33,-3.3800129460369713e+33,-1.0
-0.5,-0.41836734693877553,-1.4796327501437866e+16,3.238580911485499e+33,-3.238580911485499e+33,-1.0
-0.5,-0.3979591836734694,-7.329306318729462e+16,3.101402471958087e+33,-3.101402471958087e+33,-1.0
-0.5,-0.37755102040816324,-7.329306318729462e+16,2.968477627454739e+33,-2.968477627454739e+33,-1.0
-0.5,-0.35714285714285715,-4.525025399627402e+16,2.839806377975452e+33,-2.839806377975452e+33,-1.0
-0.5,-0.33673469387755106,-7.329306318729462e+16,2.715388723520228e+33,-2.715388723520228e+33,-1.0
-0.5,-0.3163265306122449,-4.525025399627402e+16,2.595224664089066e+33,-2.595224664089066e+33,-1.0
-0.5,-0.29591836734693877,-7.329306318729462e+16,2.4793141996819665e+33,-2.4793141996819665e+33,-1.0
-0.5,-0.2755102040816327,-7.329306318729462e+16,2.367657330298929e+33,-2.367657330298929e+33,-1.0
-0.5,-0.25510204081632654,-7.329306318729462e+16,2.2602540559399548e+33,-2.2602540559399548e+33,-1.0
-0.5,-0.23469387755102045,-7.329306318729462e+16,2.1571043766050414e+33,-2.1571043766050414e+33,-1.0
-0.5,-0.2142857142857143,-7.329306318729462e+16,2.058208292294191e+33,-2.058208292294191e+33,-1.0
-0.5,-0.1938775510204082,-7.329306318729462e+16,1.9635658030074032e+33,-1.9635658030074032e+33,-1.0
-0.5,-0.17346938775510207,-7.329306318729462e+16,1.8731769087446773e+33,-1.8731769087446773e+33,-1.0
-0.5,-0.15306122448979592,-7.329306318729462e+16,1.787041609506013e+33,-1.787041609506013e+33,-1.0
-0.5,-0.13265306122448983,-7.329306318729462e+16,1.705159905291412e+33,-1.705159905291412e+33,-1.0
-0.5,-0.11224489795918369,-7.329306318729462e+16,1.6275317961008722e+33,-1.6275317961008722e+33,-1.0
-0.5,-0.0918367346938776,-5.850378036849606e+16,1.5541572819343963e+33,-1.5541572819343963e+33,-1.0
-0.5,-0.07142857142857145,-5.850378036849606e+16,1.4850363627919813e+33,-1.4850363627919813e+33,-1.0
-0.5,-0.05102040816326536,-5.850378036849606e+16,1.4201690386736285e+33,-1.4201690386736285e+33,-1.0
-0.5,-0.030612244897959218,-5.850378036849606e+16,1.359555309579339e+33,-1.359555309579339e+33,-1.0
-0.5,-0.010204081632653073,-5.850378036849606e+16,1.3031951755091112e+33,-1.3031951755091112e+33,-1.0
-0.5,0.010204081632653073,-5.850378036849606e+16,1.2510886364629458e+33,-1.2510886364629458e+33,-1.0
-0.5,0.030612244897959107,-5.850378036849606e+16,1.2032356924408427e+33,-1.2032356924408427e+33,-1.0
-0.5,0.05102040816326525,-5.850378036849606e+16,1.1596363434428019e+33,-1.1596363434428019e+33,-1.0
-0.5,0.0714285714285714,-5.850378036849606e+16,1.1202905894688234e+33,-1.1202905894688234e+33,-1.0
-0.5,0.09183673469387754,-5.850378036849606e+16,1.0851984305189068e+33,-1.0851984305189068e+33,-1.0
-0.5,0.11224489795918358,-7044682639302.587,1.0543598665930529e+33,-1.0543598665930529e+33,-1.0
-0.5,0.13265306122448972,-7044682639302.587,1.027774897691261e+33,-1.027774897691261e+33,-1.0
-0.5,0.15306122448979587,-7044682639302.587,1.0054435238135315e+33,-1.0054435238135315e+33,-1.0
-0.5,0.173469387755102,-7044682639302.587,9.87365744959864e+32,-9.87365744959864e+32,-1.0
-0.5,0.19387755102040816,-7044682639302.587,9.735415611302592e+32,-9.735415611302592e+32,-1.0
-0.5,0.2142857142857142,-7044682639302.587,9.639709723247167e+32,-9.639709723247167e+32,-1.0
-0.5,0.23469387755102034,-7044682639302.587,9.586539785432361e+32,-9.586539785432361e+32,-1.0
-0.5,0.2551020408163265,-7044682639302.587,9.57590579785818e+32,-9.57590579785818e+32,-1.0
-0.5,0.2755102040816326,-7044682639302.587,9.607807760524624e+32,-9.607807760524624e+32,-1.0
-0.5,0.29591836734693866,-7044682639302.587,9.682245673431688e+32,-9.682245673431688e+32,-1.0
-0.5,0.3163265306122448,-0.0,9.799219536579373e+32,-9.799219536579373e+32,-1.0
-0.5,0.33673469387755095,-0.0,9.958729349967683e+32,-9.958729349967683e+32,-1.0
-0.5,0.3571428571428571,-0.0,1.0160775113596618e+33,-1.0160775113596618e+33,-1.0
-0.5,0.37755102040816324,-0.0,1.0405356827466178e+33,-1.0405356827466178e+33,-1.0
-0.5,0.3979591836734693,-0.0,1.0692474491576349e+33,-1.0692474491576349e+33,-1.0
-0.5,0.4183673469387754,-1.478928281879856e+16,1.102212810592715e+33,-1.102212810592715e+33,-1.0
-0.5,0.43877551020408156,-7699433593931805.0,1.1394317670518576e+33,-1.1394317670518576e+33,-1.0
-0.5,0.4591836734693877,-1.478928281879856e+16,1.1809043185350625e+33,-1.1809043185350625e+33,-1.0
-0.5,0.47959183673469385,-1.478928281879856e+16,1.2266304650423292e+33,-1.2266304650423292e+33,-1.0
-0.5,0.5,-1.634501442279807e+16,1.2766102065736586e+33,-1.2766102065736586e+33,-1.0
-0.47959183673469385,-0.5,-1.634501442279807e+16,3.6756378002111996e+33,-3.6756378002111996e+33,-1.0
-0.47959183673469385,-0.47959183673469385,-1.634501442279807e+16,3.523571778099627e+33,-3.523571778099627e+33,-1.0
-0.47959183673469385,-0.45918367346938777,-1.634501442279807e+16,3.3757593510121175e+33,-3.3757593510121175e+33,-1.0
-0.47959183673469385,-0.4387755102040816,-1.4796327501437866e+16,3.232200518948671e+33,-3.232200518948671e+33,-1.0
-0.47959183673469385,-0.41836734693877553,-1.4796327501437866e+16,3.092895281909286e+33,-3.092895281909286e+33,-1.0
-0.47959183673469385,-0.3979591836734694,-7.329306318729462e+16,2.9578436398939626e+33,-2.9578436398939626e+33,-1.0
